location,date,excess_mortality,ci_lower,ci_upper,confirmed_deaths
Afghanistan,2020-01-01,-0.02214765,-0.28915802,0.42046466,0.0
Afghanistan,2020-02-01,0.12654226,-1.6760105,2.684884,0.0
Afghanistan,2020-03-01,0.329365,-4.6519413,4.183122,0.0
Afghanistan,2020-04-01,3.310485,-7.330058,7.965018,0.009857364
Afghanistan,2020-05-01,5.391588,-10.536296,13.371714,0.14786045
Afghanistan,2020-06-01,9.984016,-7.2660146,20.43607,0.61608523
Afghanistan,2020-07-01,23.417234,-0.44578743,36.36227,1.8112906
Afghanistan,2020-08-01,33.167717,6.4131284,51.341187,3.1321774
Afghanistan,2020-09-01,42.6349,10.469358,61.722137,3.455006
Afghanistan,2020-10-01,47.872276,12.692032,68.67525,3.593009
Afghanistan,2020-11-01,54.60374,16.789274,77.87439,3.7852278
Afghanistan,2020-12-01,65.05861,23.467941,92.61084,4.371741
Afghanistan,2021-01-01,71.67951,26.228506,100.020325,5.4240146
Afghanistan,2021-02-01,74.98428,27.459085,106.38092,5.9242754
Afghanistan,2021-03-01,76.89182,27.37758,110.47724,6.022849
Afghanistan,2021-04-01,81.46367,28.516932,120.69497,6.1337447
Afghanistan,2021-05-01,88.17119,32.07895,136.82095,6.483681
Afghanistan,2021-06-01,106.16189,41.874355,147.24898,7.3264856
Afghanistan,2021-07-01,130.61769,52.971207,161.71832,12.22806
Afghanistan,2021-08-01,150.92575,62.72673,179.65598,16.602264
Afghanistan,2021-09-01,164.21715,73.33523,201.38991,17.553501
Afghanistan,2021-10-01,171.65839,76.73259,213.8693,17.758041
Afghanistan,2021-11-01,177.662,77.517136,225.09752,17.940401
Afghanistan,2021-12-01,180.72166,78.23844,242.4974,18.009403
Afghanistan,2022-01-01,182.78654,78.710464,246.86282,18.127691
Afghanistan,2022-02-01,188.56885,83.56544,252.58035,18.270624
Afghanistan,2022-03-01,198.14156,91.49204,260.27338,18.724062
Afghanistan,2022-04-01,202.54718,96.138275,266.67288,18.901495
Afghanistan,2022-05-01,205.18694,96.20476,277.16714,18.93353
Afghanistan,2022-06-01,211.58318,96.51855,286.792,18.987747
