location,date,excess_mortality,ci_lower,ci_upper,confirmed_deaths
United States,2020-01-01,0.0,0.0,0.0,0.0
United States,2020-02-01,-0.57872885,-0.57872885,-0.57872885,0.0
United States,2020-03-01,-0.8041327,-0.8041327,-0.8041327,0.0002927966
United States,2020-04-01,12.626142,12.626142,12.626142,1.158889
United States,2020-05-01,32.566418,32.566418,32.566418,18.410465
United States,2020-06-01,41.78766,41.78766,41.78766,31.104078
United States,2020-07-01,51.243412,51.243412,51.243412,37.686146
United States,2020-08-01,64.90121,64.90121,64.90121,46.369324
United States,2020-09-01,78.20123,78.20123,78.20123,55.489353
United States,2020-10-01,86.394424,86.394424,86.394424,61.766617
United States,2020-11-01,96.42196,96.42196,96.42196,68.6652
United States,2020-12-01,122.502625,122.502625,122.502625,80.809814
United States,2021-01-01,152.26247,152.26247,152.26247,104.16737
United States,2021-02-01,175.87238,175.87238,175.87238,133.20782
United States,2021-03-01,184.77763,184.77763,184.77763,152.68964
United States,2021-04-01,187.6467,187.6467,187.6467,162.20319
United States,2021-05-01,191.63966,191.63966,191.63966,168.291
United States,2021-06-01,196.97543,196.97543,196.97543,173.25186
United States,2021-07-01,201.24887,201.24887,201.24887,176.02962
United States,2021-08-01,209.38168,209.38168,209.38168,178.74911
United States,2021-09-01,236.33192,236.33192,236.33192,188.18126
United States,2021-10-01,257.0316,257.0316,257.0316,204.49033
United States,2021-11-01,270.74924,270.74924,270.74924,218.18677
United States,2021-12-01,288.17764,288.17764,288.17764,227.70822
United States,2022-01-01,304.6116,304.6116,304.6116,240.20712
United States,2022-02-01,335.1364,335.1364,335.1364,259.11945
United States,2022-03-01,341.22412,341.22412,341.22412,277.59988
United States,2022-04-01,341.07553,341.07553,341.07553,285.92996
United States,2022-05-01,341.70135,341.70135,341.70135,289.61362
United States,2022-06-01,345.89044,345.89044,345.89044,292.40692
United States,2022-07-01,350.4974,350.4974,350.4974,295.44086
United States,2022-08-01,356.9161,356.9161,356.9161,299.1591
United States,2022-09-01,364.01617,364.01617,364.01617,303.3203
United States,2022-10-01,368.99655,368.99655,368.99655,307.05582
United States,2022-11-01,375.4153,375.4153,375.4153,310.3407
United States,2022-12-01,383.47177,383.47177,383.47177,313.14395
United States,2023-01-01,392.0475,392.0475,392.0475,316.93945
United States,2023-02-01,393.29675,393.29675,393.29675,321.20786
United States,2023-03-01,393.36102,393.36102,393.36102,324.7539
United States,2023-04-01,394.1839,394.1839,394.1839,327.58087
United States,2023-05-01,395.657,395.657,395.657,329.12186
United States,2023-06-01,397.7112,397.7112,397.7112,330.67075
United States,2023-07-01,399.1967,399.1967,399.1967,331.36554
United States,2023-08-01,401.81668,401.81668,401.81668,332.1766
United States,2023-09-01,404.0367,400.50812,408.0599,333.32874
United States,2023-10-01,406.20758,398.37695,413.8431,334.97015
United States,2023-11-01,409.46436,397.377,421.3765,336.91785
United States,2023-12-01,413.38522,397.464,428.5313,338.67142
United States,2024-01-01,416.85013,398.9625,438.28497,340.9602
United States,2024-02-01,420.59326,397.5025,456.90472,344.28403
United States,2024-03-01,422.46783,395.6619,464.8531,345.9313
United States,2024-04-01,424.6913,392.1143,465.04395,347.0284
United States,2024-05-01,428.5119,388.38644,472.40674,347.7803
United States,2024-06-01,431.73715,386.35892,475.8464,348.17355
United States,2024-07-01,,,,348.6303
United States,2024-08-01,,,,349.71774
United States,2024-09-01,,,,351.11438
United States,2024-10-01,,,,352.75113
United States,2024-11-01,,,,353.5698
United States,2024-12-01,,,,354.1753
United States,2025-01-01,,,,355.1292
United States,2025-02-01,,,,356.28723
United States,2025-03-01,,,,357.17322
United States,2025-04-01,,,,357.9026
United States,2025-05-01,,,,358.3043
United States,2025-06-01,,,,358.56403
United States,2025-07-01,,,,358.80087
